1.269046443214900899e+00,-9.246726721234210800e-02
1.276118859268066119e+00,1.358025820415491580e+00
1.279980870943649318e+00,4.705991738686421400e+00
1.281966177389607831e+00,9.942094593564704041e+00
1.283248433856143622e+00,1.905811879829894906e+01
1.284342067157467904e+00,2.830046336518968531e+01
1.285277561845534766e+00,3.966891490237321705e+01
1.286192098404133732e+00,4.966251314646302006e+01
1.287280015851967274e+00,5.852989772432819393e+01
1.288131678022162330e+00,6.439893608913682499e+01
1.289732116999710465e+00,6.938773301629399270e+01
1.291456399469568916e+00,7.000066303900499065e+01
1.293698919322633367e+00,6.710996540003353061e+01
1.295556571707287219e+00,6.397196183334094854e+01
1.297257990763180713e+00,6.308505189994968987e+01
1.299609111832578989e+00,6.731859405246390793e+01
1.301405795113326436e+00,6.018101726949868180e+01
1.302206014602100392e+00,5.017541573307725855e+01
1.303006234090874571e+00,4.016981419665583530e+01
1.303804548295151688e+00,3.003922599722589837e+01
1.304795296233633772e+00,2.003229076165652600e+01
1.305976572621823761e+00,1.002402182693920452e+01
1.308727803435609127e+00,3.004763211242703846e+00
1.314975231301538150e+00,3.360312161811975784e-01
1.319928970993949013e+00,3.013550383343215344e-01
1.319791790510159046e+00,3.802315301720824436e+00
